"size_code","width_mm","aspect_ratio_pct","rim_in","unloaded_diameter_mm","unloaded_radius_mm","unloaded_circumference_mm","dynamic_factor","expected_rolling_radius_mm","expected_effective_circumference_mm","source","notes"
"195/70R14","195","70","14","628.6","314.3","1974.805","0.97","304.871","1915.561","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"195/70R15","195","70","15","654","327","2054.602","0.97","317.19","1992.964","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"195/70R16","195","70","16","679.4","339.7","2134.398","0.97","329.509","2070.366","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"195/75R10","195","75","10","546.5","273.25","1716.88","0.97","265.053","1665.374","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"195/75R12","195","75","12","597.3","298.65","1876.473","0.97","289.691","1820.179","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"195/75R13","195","75","13","622.7","311.35","1956.27","0.97","302.01","1897.582","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"195/75R14","195","75","14","648.1","324.05","2036.066","0.97","314.329","1974.984","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"195/75R15","195","75","15","673.5","336.75","2115.863","0.97","326.648","2052.387","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"195/75R16","195","75","16","698.9","349.45","2195.659","0.97","338.967","2129.789","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"195/80R10","195","80","10","566","283","1778.141","0.97","274.51","1724.797","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"195/80R12","195","80","12","616.8","308.4","1937.734","0.97","299.148","1879.602","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"195/80R13","195","80","13","642.2","321.1","2017.531","0.97","311.467","1957.005","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"195/80R14","195","80","14","667.6","333.8","2097.327","0.97","323.786","2034.407","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"195/80R15","195","80","15","693","346.5","2177.124","0.97","336.105","2111.81","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"195/80R16","195","80","16","718.4","359.2","2256.92","0.97","348.424","2189.213","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/40R15","205","40","15","545","272.5","1712.168","0.97","264.325","1660.803","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/40R16","205","40","16","570.4","285.2","1791.964","0.97","276.644","1738.206","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/40R17","205","40","17","595.8","297.9","1871.761","0.97","288.963","1815.608","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/40R18","205","40","18","621.2","310.6","1951.557","0.97","301.282","1893.011","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/40R19","205","40","19","646.6","323.3","2031.354","0.97","313.601","1970.413","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/40R20","205","40","20","672","336","2111.15","0.97","325.92","2047.816","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/45R14","205","45","14","540.1","270.05","1696.774","0.97","261.949","1645.871","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/45R15","205","45","15","565.5","282.75","1776.571","0.97","274.268","1723.274","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/45R16","205","45","16","590.9","295.45","1856.367","0.97","286.587","1800.676","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/45R17","205","45","17","616.3","308.15","1936.164","0.97","298.906","1878.079","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/45R18","205","45","18","641.7","320.85","2015.96","0.97","311.225","1955.481","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/45R19","205","45","19","667.1","333.55","2095.756","0.97","323.544","2032.884","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/50R13","205","50","13","535.2","267.6","1681.38","0.97","259.572","1630.939","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/50R14","205","50","14","560.6","280.3","1761.177","0.97","271.891","1708.342","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/50R15","205","50","15","586","293","1840.973","0.97","284.21","1785.744","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/50R16","205","50","16","611.4","305.7","1920.77","0.97","296.529","1863.147","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/50R17","205","50","17","636.8","318.4","2000.566","0.97","308.848","1940.549","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/50R18","205","50","18","662.2","331.1","2080.363","0.97","321.167","2017.952","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/55R14","205","55","14","581.1","290.55","1825.579","0.97","281.834","1770.812","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/55R15","205","55","15","606.5","303.25","1905.376","0.97","294.153","1848.215","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/55R16","205","55","16","631.9","315.95","1985.172","0.97","306.472","1925.617","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/55R17","205","55","17","657.3","328.65","2064.969","0.97","318.791","2003.02","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/55R18","205","55","18","682.7","341.35","2144.765","0.97","331.11","2080.422","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/55R19","205","55","19","708.1","354.05","2224.562","0.97","343.429","2157.825","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/60R12","205","60","12","550.8","275.4","1730.389","0.97","267.138","1678.478","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/60R13","205","60","13","576.2","288.1","1810.186","0.97","279.457","1755.88","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/60R14","205","60","14","601.6","300.8","1889.982","0.97","291.776","1833.283","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/60R15","205","60","15","627","313.5","1969.779","0.97","304.095","1910.685","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/60R16","205","60","16","652.4","326.2","2049.575","0.97","316.414","1988.088","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/60R17","205","60","17","677.8","338.9","2129.372","0.97","328.733","2065.49","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/65R12","205","65","12","571.3","285.65","1794.792","0.97","277.081","1740.948","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/65R13","205","65","13","596.7","298.35","1874.588","0.97","289.4","1818.351","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/65R14","205","65","14","622.1","311.05","1954.385","0.97","301.719","1895.753","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/65R15","205","65","15","647.5","323.75","2034.181","0.97","314.038","1973.156","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/65R16","205","65","16","672.9","336.45","2113.978","0.97","326.357","2050.558","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/65R17","205","65","17","698.3","349.15","2193.774","0.97","338.676","2127.961","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/70R10","205","70","10","541","270.5","1699.602","0.97","262.385","1648.614","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/70R12","205","70","12","591.8","295.9","1859.195","0.97","287.023","1803.419","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/70R13","205","70","13","617.2","308.6","1938.991","0.97","299.342","1880.821","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/70R14","205","70","14","642.6","321.3","2018.787","0.97","311.661","1958.224","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/70R15","205","70","15","668","334","2098.584","0.97","323.98","2035.626","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/70R16","205","70","16","693.4","346.7","2178.38","0.97","336.299","2113.029","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/75R10","205","75","10","561.5","280.75","1764.004","0.97","272.328","1711.084","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/75R12","205","75","12","612.3","306.15","1923.597","0.97","296.966","1865.889","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/75R13","205","75","13","637.7","318.85","2003.394","0.97","309.285","1943.292","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/75R14","205","75","14","663.1","331.55","2083.19","0.97","321.604","2020.694","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/75R15","205","75","15","688.5","344.25","2162.987","0.97","333.923","2098.097","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/75R16","205","75","16","713.9","356.95","2242.783","0.97","346.242","2175.5","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/80R10","205","80","10","582","291","1828.407","0.97","282.27","1773.555","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/80R12","205","80","12","632.8","316.4","1988","0.97","306.908","1928.36","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/80R13","205","80","13","658.2","329.1","2067.796","0.97","319.227","2005.762","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/80R14","205","80","14","683.6","341.8","2147.593","0.97","331.546","2083.165","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/80R15","205","80","15","709","354.5","2227.389","0.97","343.865","2160.568","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"205/80R16","205","80","16","734.4","367.2","2307.186","0.97","356.184","2237.97","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/40R15","215","40","15","553","276.5","1737.301","0.97","268.205","1685.182","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/40R16","215","40","16","578.4","289.2","1817.097","0.97","280.524","1762.584","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/40R17","215","40","17","603.8","301.9","1896.894","0.97","292.843","1839.987","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/40R18","215","40","18","629.2","314.6","1976.69","0.97","305.162","1917.389","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/40R19","215","40","19","654.6","327.3","2056.487","0.97","317.481","1994.792","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/40R20","215","40","20","680","340","2136.283","0.97","329.8","2072.195","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/45R14","215","45","14","549.1","274.55","1725.049","0.97","266.314","1673.297","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/45R15","215","45","15","574.5","287.25","1804.845","0.97","278.633","1750.7","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/45R16","215","45","16","599.9","299.95","1884.641","0.97","290.952","1828.102","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/45R17","215","45","17","625.3","312.65","1964.438","0.97","303.271","1905.505","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/45R18","215","45","18","650.7","325.35","2044.234","0.97","315.59","1982.907","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/45R19","215","45","19","676.1","338.05","2124.031","0.97","327.909","2060.31","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/50R13","215","50","13","545.2","272.6","1712.796","0.97","264.422","1661.412","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/50R14","215","50","14","570.6","285.3","1792.593","0.97","276.741","1738.815","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/50R15","215","50","15","596","298","1872.389","0.97","289.06","1816.218","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/50R16","215","50","16","621.4","310.7","1952.186","0.97","301.379","1893.62","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/50R17","215","50","17","646.8","323.4","2031.982","0.97","313.698","1971.023","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/50R18","215","50","18","672.2","336.1","2111.779","0.97","326.017","2048.425","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/55R14","215","55","14","592.1","296.05","1860.137","0.97","287.169","1804.333","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/55R15","215","55","15","617.5","308.75","1939.933","0.97","299.488","1881.735","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/55R16","215","55","16","642.9","321.45","2019.73","0.97","311.807","1959.138","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/55R17","215","55","17","668.3","334.15","2099.526","0.97","324.126","2036.541","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/55R18","215","55","18","693.7","346.85","2179.323","0.97","336.445","2113.943","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/55R19","215","55","19","719.1","359.55","2259.119","0.97","348.764","2191.346","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/60R12","215","60","12","562.8","281.4","1768.088","0.97","272.958","1715.046","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/60R13","215","60","13","588.2","294.1","1847.885","0.97","285.277","1792.448","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/60R14","215","60","14","613.6","306.8","1927.681","0.97","297.596","1869.851","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/60R15","215","60","15","639","319.5","2007.478","0.97","309.915","1947.253","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/60R16","215","60","16","664.4","332.2","2087.274","0.97","322.234","2024.656","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/60R17","215","60","17","689.8","344.9","2167.071","0.97","334.553","2102.058","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/65R12","215","65","12","584.3","292.15","1835.633","0.97","283.386","1780.564","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/65R13","215","65","13","609.7","304.85","1915.429","0.97","295.705","1857.966","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/65R14","215","65","14","635.1","317.55","1995.225","0.97","308.024","1935.369","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/65R15","215","65","15","660.5","330.25","2075.022","0.97","320.343","2012.771","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/65R16","215","65","16","685.9","342.95","2154.818","0.97","332.662","2090.174","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/65R17","215","65","17","711.3","355.65","2234.615","0.97","344.981","2167.576","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/70R10","215","70","10","555","277.5","1743.584","0.97","269.175","1691.276","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/70R12","215","70","12","605.8","302.9","1903.177","0.97","293.813","1846.082","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/70R13","215","70","13","631.2","315.6","1982.973","0.97","306.132","1923.484","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/70R14","215","70","14","656.6","328.3","2062.77","0.97","318.451","2000.887","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/70R15","215","70","15","682","341","2142.566","0.97","330.77","2078.289","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/70R16","215","70","16","707.4","353.7","2222.363","0.97","343.089","2155.692","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/75R10","215","75","10","576.5","288.25","1811.128","0.97","279.603","1756.794","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/75R12","215","75","12","627.3","313.65","1970.721","0.97","304.241","1911.599","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/75R13","215","75","13","652.7","326.35","2050.518","0.97","316.56","1989.002","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/75R14","215","75","14","678.1","339.05","2130.314","0.97","328.879","2066.405","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/75R15","215","75","15","703.5","351.75","2210.11","0.97","341.198","2143.807","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/75R16","215","75","16","728.9","364.45","2289.907","0.97","353.517","2221.21","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/80R10","215","80","10","598","299","1878.672","0.97","290.03","1822.312","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/80R12","215","80","12","648.8","324.4","2038.265","0.97","314.668","1977.117","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/80R13","215","80","13","674.2","337.1","2118.062","0.97","326.987","2054.52","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/80R14","215","80","14","699.6","349.8","2197.858","0.97","339.306","2131.922","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/80R15","215","80","15","725","362.5","2277.655","0.97","351.625","2209.325","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"215/80R16","215","80","16","750.4","375.2","2357.451","0.97","363.944","2286.728","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/40R15","225","40","15","561","280.5","1762.433","0.97","272.085","1709.56","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/40R16","225","40","16","586.4","293.2","1842.23","0.97","284.404","1786.963","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/40R17","225","40","17","611.8","305.9","1922.026","0.97","296.723","1864.366","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/40R18","225","40","18","637.2","318.6","2001.823","0.97","309.042","1941.768","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/40R19","225","40","19","662.6","331.3","2081.619","0.97","321.361","2019.171","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/40R20","225","40","20","688","344","2161.416","0.97","333.68","2096.573","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/45R14","225","45","14","558.1","279.05","1753.323","0.97","270.679","1700.723","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/45R15","225","45","15","583.5","291.75","1833.119","0.97","282.998","1778.126","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/45R16","225","45","16","608.9","304.45","1912.916","0.97","295.317","1855.528","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/45R17","225","45","17","634.3","317.15","1992.712","0.97","307.636","1932.931","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/45R18","225","45","18","659.7","329.85","2072.509","0.97","319.955","2010.333","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/45R19","225","45","19","685.1","342.55","2152.305","0.97","332.274","2087.736","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/50R13","225","50","13","555.2","277.6","1744.212","0.97","269.272","1691.886","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/50R14","225","50","14","580.6","290.3","1824.009","0.97","281.591","1769.288","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/50R15","225","50","15","606","303","1903.805","0.97","293.91","1846.691","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/50R16","225","50","16","631.4","315.7","1983.602","0.97","306.229","1924.094","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/50R17","225","50","17","656.8","328.4","2063.398","0.97","318.548","2001.496","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/50R18","225","50","18","682.2","341.1","2143.195","0.97","330.867","2078.899","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/55R14","225","55","14","603.1","301.55","1894.695","0.97","292.504","1837.854","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/55R15","225","55","15","628.5","314.25","1974.491","0.97","304.823","1915.256","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/55R16","225","55","16","653.9","326.95","2054.287","0.97","317.142","1992.659","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/55R17","225","55","17","679.3","339.65","2134.084","0.97","329.461","2070.061","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/55R18","225","55","18","704.7","352.35","2213.88","0.97","341.78","2147.464","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/55R19","225","55","19","730.1","365.05","2293.677","0.97","354.099","2224.866","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/60R12","225","60","12","574.8","287.4","1805.787","0.97","278.778","1751.614","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/60R13","225","60","13","600.2","300.1","1885.584","0.97","291.097","1829.016","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/60R14","225","60","14","625.6","312.8","1965.38","0.97","303.416","1906.419","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/60R15","225","60","15","651","325.5","2045.177","0.97","315.735","1983.822","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/60R16","225","60","16","676.4","338.2","2124.973","0.97","328.054","2061.224","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/60R17","225","60","17","701.8","350.9","2204.77","0.97","340.373","2138.627","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/60R18","225","60","18","727.2","363.6","2284.566","0.97","352.692","2216.029","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/65R12","225","65","12","597.3","298.65","1876.473","0.97","289.691","1820.179","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/65R13","225","65","13","622.7","311.35","1956.27","0.97","302.01","1897.582","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/65R14","225","65","14","648.1","324.05","2036.066","0.97","314.329","1974.984","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/65R15","225","65","15","673.5","336.75","2115.863","0.97","326.648","2052.387","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/65R16","225","65","16","698.9","349.45","2195.659","0.97","338.967","2129.789","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/65R17","225","65","17","724.3","362.15","2275.456","0.97","351.286","2207.192","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/70R10","225","70","10","569","284.5","1787.566","0.97","275.965","1733.939","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/70R12","225","70","12","619.8","309.9","1947.159","0.97","300.603","1888.744","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/70R13","225","70","13","645.2","322.6","2026.956","0.97","312.922","1966.147","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/70R14","225","70","14","670.6","335.3","2106.752","0.97","325.241","2043.549","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/70R15","225","70","15","696","348","2186.548","0.97","337.56","2120.952","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/70R16","225","70","16","721.4","360.7","2266.345","0.97","349.879","2198.355","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/75R10","225","75","10","591.5","295.75","1858.252","0.97","286.878","1802.504","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/75R12","225","75","12","642.3","321.15","2017.845","0.97","311.516","1957.31","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/75R13","225","75","13","667.7","333.85","2097.641","0.97","323.835","2034.712","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/75R14","225","75","14","693.1","346.55","2177.438","0.97","336.154","2112.115","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/75R15","225","75","15","718.5","359.25","2257.234","0.97","348.473","2189.517","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/75R16","225","75","16","743.9","371.95","2337.031","0.97","360.792","2266.92","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/80R10","225","80","10","614","307","1928.938","0.97","297.79","1871.07","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/80R12","225","80","12","664.8","332.4","2088.531","0.97","322.428","2025.875","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/80R13","225","80","13","690.2","345.1","2168.327","0.97","334.747","2103.277","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/80R14","225","80","14","715.6","357.8","2248.124","0.97","347.066","2180.68","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"225/80R15","225","80","15","741","370.5","2327.92","0.97","359.385","2258.083","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
